en_claim,label
Can masks reduce corona infections when worn by a large proportion of the population?,0
Can homeopathic preparations with Anamirta cocculus help against dizziness?,1
Can zeolite alleviate or prevent health problems?,1
Does paxlovid protect unvaccinated people with risk factors from severe or even fatal covid 19 disease?,0
"Does starting school later improve health, learning success, and quality of life in adolescents?",1
Does the F.X. Mayr cure have health benefits? Can it prevent diseases or treat them?,1
Does the consumption of soy foods or soy isoflavones affect the appearance of acne skin?,1
Does extract from the Damiana plant (Turnera diffusa) help with erectile dysfunction?,1
Is the homeopathic remedy Neradin effective for erectile dysfunction?,1
Does regular HPV testing in addition to the recommended Pap smear detect more precancerous lesions than just the Pap smear alone?,0
Can monk's pepper reduce PMS symptoms? PMS is the abbreviation for premenstrual syndrome. This refers to complaints that occur in the days before menstruation.,0
Can olive leaf extract reduce high blood pressure?,1
Do green-lipped mussel preparations improve the symptoms of osteoarthritis?,1
Can probiotics lower blood sugar in type 2 diabetes?,0
Can the so-called Tupler technique help against rectus diastasis?,1
Can CBD (cannabidiol) help with migraines or other headaches?,1
Can laser irradiation of blood by infusion needle (hemolaser treatment) relieve discomfort or help with diseases?,1
"In everyday life, when breathing with an FFP2 mask or ordinary mouth-nose protection, do you get as much oxygen as without a mask?",0
Can CBD help with period pain?,1
"Can a bioresonance device like ""Bioscan"" or ""Vieva Vital Analyser"" measure mineral and vitamin deficiencies or detect health problems?",2
Does arthroscopy (joint endoscopy) help with osteoarthritis of the knee joint?,2
"Do dietary supplements containing silicon (e.g. as ""organic silicon"" or silica) have health benefits?",1
Can regular intake of cranberry juice or cranberry extract prevent recurrent cystitis in women?,0
Will women who have recurrent bladder infections get rid of them faster if they take cranberry products only after the disease is already there???,1
Can extract from St. John's wort relieve the symptoms of depression? Is it similarly effective as drugs against depression (antidepressants)?,0
"Does the Zisano bracelet strengthen the immune system, increase endurance and performance or reduce fatigue?",1
"Does microimmunotherapy improve symptoms of allergies, cancer, joint inflammation, autoimmune diseases, dementia or various viral infections?",1
